"isBuiltIn","description","rolePermissions","displayName","id"
"True","Application Managers manage mobile and managed applications, can read device information and can view device configuration profiles.","System.Collections.Hashtable","Application Manager","c1d9fcbb-cba5-40b0-bf6b-527006585f4b"
"True","Manages security and compliance features such as security baselines, device compliance, conditional access, and Microsoft Defender ATP.","System.Collections.Hashtable","Endpoint Security Manager","c56d53a2-73d0-4502-b6bd-4a9d3dba28d5"
"True","Endpoint Privilege Managers can manage Endpoint Privilege Management (EPM) policies in the Intune console.","System.Collections.Hashtable","Endpoint Privilege Manager","e9a9f614-7527-44e2-a61a-1879747ccfd7"
"True","Read Only Operators view user, device, enrollment, configuration and application information and cannot make changes to Intune.","System.Collections.Hashtable","Read Only Operator","fa1d7878-e8cb-41a1-8254-0142355c9f84"
"True","School Administrators can manage apps and settings for their groups. They can take remote actions on devices, including remotely locking them, restarting them, and retiring them from management.","System.Collections.Hashtable","School Administrator","2f9f4f7e-2d13-427b-adf2-361a1eef7ae8"
"True","Endpoint Privilege Readers can view Endpoint Privilege Management (EPM) policies in the Intune console.","System.Collections.Hashtable","Endpoint Privilege Reader","9553af24-bd83-4ac3-a339-0e58f9e5478e"
"True","Help Desk Operators perform remote tasks on users and devices and can assign applications or policies to users or devices.","System.Collections.Hashtable","Help Desk Operator","9e0cc482-82df-4ab2-a24c-0c23a3f52e1e"
"True","Policy and Profile Managers manage compliance policy, configuration profiles, Apple enrollment, Android Enterprise enrollment profiles and corporate device identifiers.","System.Collections.Hashtable","Policy and Profile manager","0bd113fe-6be5-400c-a28f-ae5553f9c0be"
"True","Multi Admin Approval Policy Manager can manage the access policies that configure Multi-admin approval including approving changes to existing policy or creating new access policies.","System.Collections.Hashtable","Multi Admin Approval Policy Manager","5500eb3c-d329-45fd-b3a9-5f87c2cc5e03"
"True","Intune Role Administrators manage custom Intune roles and add assignments for built-in Intune roles. It is the only Intune role that can assign permissions to Administrators.","System.Collections.Hashtable","Intune Role Administrator","fb2603eb-3c87-4be3-8b5b-d58a5b4a0bc0"
