"Id","DisplayName","Description","MailEnabled","SecurityEnabled","GroupClassification","Visibility","CreatedDateTime","OnPremisesSyncEnabled","Owners","MemberCount","Members"
"0043ff28-a06c-4394-91b5-247e6d3d4bf6","M365 GDAP Advanced","M365 GDAP Combined Group: Cloud Application Administrator, Exchange Administrator, Intune Administrator, Security Administrator, Teams Administrator, SharePoint Administrator","False","True","Security Group","Private","02/27/2026 12:37:14","False","","0",""
"066e759f-422c-428b-8ac7-be7b05c28c1e","M365 GDAP Custom Application Developer 19ae3a92","M365 GDAP Combined Group: Application Developer","False","True","Security Group","Private","02/27/2026 13:06:18","False","","0",""
"073d78ef-b0de-443b-960b-76bc25ce3234","M365 GDAP Advanced Helpdesk Group","GDAP Group for Tenant Governance","False","True","Security Group","Private","02/27/2026 12:54:30","False","","0",""
"0995a421-5f7d-4ed8-b098-17802452ebf4","M365 GDAP Intune Administrator","This group is used to manage M365 partner tenants at the Intune Administrator level.","False","True","Security Group",,"05/08/2026 15:09:04","False","","0",""
"0cea644c-ac2b-4ce7-8429-84edff5d1b6c","Excluded from Legacy Authentication Block",,"False","True","Security Group","Private","06/24/2025 15:34:54","False","","0",""
"1662ae85-6011-43b6-8a81-85011bc9c932","DemoWebsite02","DemoWebsite02","True","False","Microsoft 365 Group","Private","05/29/2026 11:00:03","False","mkn@mycloudofficedev.onmicrosoft.com","1","mkn@mycloudofficedev.onmicrosoft.com"
"172f9e93-d1d3-482f-bb0c-47d63552a1fe","Demo-GSA-M365_ClientAccess",,"False","True","Security Group",,"06/24/2025 15:51:16","False","mkn@mycloudofficedev.onmicrosoft.com","1","mkn@mycloudofficedev.onmicrosoft.com"
"1ac33768-baf5-4e53-a090-4e2430b32dde","Demo OnPrem Gruppe 02",,"False","True","Security Group",,"02/17/2026 14:02:47","True","","2","demoonpremuser02@mycloudofficedev.onmicrosoft.com; demoonpremuser04@mycloudofficedev.onmicrosoft.com"
"1ecb2ed5-3e76-4398-bd1a-f38ebe4a80a6","M365 GDAP Billing Administrator","This group is used to manage M365 partner tenants at the Billing Administrator level.","False","True","Security Group",,"05/08/2026 15:09:04","False","","0",""
"21c36560-00ae-424b-8a55-570365262b96","GRP - Dyn - SRV 2022 AD DC",,"False","True","Security Group",,"02/25/2026 09:08:06","False","mkn@mycloudofficedev.onmicrosoft.com","1","SRV-DC1-W2022"
"22681c9f-a0d6-4b55-ba9a-8a9f2f0e341a","Excluded from Conditional Access",,"False","True","Security Group","Private","06/24/2025 15:34:54","False","","1","mkn@mycloudofficedev.onmicrosoft.com"
"23f21d0f-e6cb-4e8b-8ce4-0b76f6987a74","M365 GDAP Helpdesk Group","GDAP Group for Tenant Governance","False","True","Security Group","Private","02/27/2026 12:54:21","False","","0",""
"245e142e-137e-40bf-891f-f2c22fa8fe18","M365 GDAP Custom 19ae3a92 Demo 15","M365 GDAP Combined Group: Edge Administrator, External ID User Flow Administrator","False","True","Security Group","Private","02/27/2026 13:48:56","False","","0",""
"24e83f60-a106-444c-9409-102c7b3ebbb1","Device - Demo - Admin Registrierte Geräte",,"False","True","Security Group",,"02/17/2026 09:08:30","False","mkn@mycloudofficedev.onmicrosoft.com","0",""
"26a66867-ef99-472a-8d8b-31145c067b83","Demo-Deleted-Identity-Recovery",,"False","True","Security Group",,"02/10/2026 20:51:02","False","","1","AlexW@mycloudofficedev.onmicrosoft.com"
"294232f4-dc8a-4c14-a2d0-5f34bc5f64c5","M365 GDAP Authentication Policy Administrator","This group is used to manage M365 partner tenants at the Authentication Policy Administrator level.","False","True","Security Group",,"05/08/2026 15:09:04","False","","0",""
"2ace62c3-9409-4279-a2d6-06c2c664f14d","M365 GDAP Security Administrator","This group is used to manage M365 partner tenants at the Security Administrator level.","False","True","Security Group",,"05/08/2026 15:09:04","False","","0",""
"2e232ed3-e694-4f17-8a92-ad029e5ce7bf","Group for Answers in Viva Engage – DO NOT DELETE 11804614657","Group that stores content and metadata for Answers in Viva Engage in network 11804614657. Deleting this this group will disrupt Answers in Viva Engage.","True","False","Microsoft 365 Group","Public","11/24/2025 11:29:39","False","mkn@mycloudofficedev.onmicrosoft.com","0",""
"3418588b-dc64-4689-a664-355a412c446d","M365 GDAP Custom f3ffabf7 Finance","M365 GDAP Combined Group: Billing Administrator, Global Reader","False","True","Security Group","Private","03/09/2026 09:04:04","False","mkn@mycloudofficedev.onmicrosoft.com","1","demo-support-Tier0@mycloudofficedev.onmicrosoft.com"
"350ed347-6ca0-427e-85fc-54b7a15b2250","M365 GDAP Custom 19ae3a92 Demo 11","M365 GDAP Combined Group: Authentication Extensibility Password Administrator, Authentication Policy Administrator, Azure AD Joined Device Local Administrator","False","True","Security Group","Private","02/27/2026 13:41:51","False","","0",""
"3be8418b-9f6d-4acd-b843-bd71eda50c2d","M365 GDAP Helpdesk 19ae3a92 demo 08","M365 GDAP Combined Group: Directory Readers, Global Reader, Helpdesk Administrator, License Administrator, Service Support Administrator, User Administrator","False","True","Security Group","Private","02/27/2026 13:19:11","False","","0",""
"3e11b35b-603a-4935-acd1-3bdf4d1ba6c8","Conditional Access Service Accounts",,"False","True","Security Group","Private","06/24/2025 15:35:12","False","","0",""
"400ce0b4-3684-4c0b-b33d-8347eaa6a00b","Demo_EntraID_Sync_User",,"False","True","Security Group",,"02/17/2026 12:33:14","False","mkn@mycloudofficedev.onmicrosoft.com","1","_CloudDemoUser01@mycloudofficedev.onmicrosoft.com"
"4272b66d-d2d2-4091-a06f-06774e3cb455","M365 GDAP Custom 19ae3a92 Demo 16","M365 GDAP Combined Group: Places Administrator, Printer Technician, Privileged Role Administrator","False","True","Security Group","Private","02/27/2026 13:50:28","False","","0",""
"44188216-fbef-42cb-bf71-2445eb400438","M365 GDAP Custom 19ae3a92 Demo 10","M365 GDAP Combined Group: Attribute Definition Reader, Attribute Log Administrator, Attribute Log Reader","False","True","Security Group","Private","02/27/2026 13:31:47","False","","0",""
"493b625b-a976-4a81-9895-45358864c60d","M365 GDAP Domain Name Administrator","This group is used to manage M365 partner tenants at the Domain Name Administrator level.","False","True","Security Group",,"05/08/2026 15:09:04","False","","0",""
"4ac67fe6-4466-4a85-ab8a-73b8c1ca7171","DemoWebsite","DemoWebsite","True","False","Microsoft 365 Group","Private","05/29/2026 08:38:08","False","mkn@mycloudofficedev.onmicrosoft.com","1","mkn@mycloudofficedev.onmicrosoft.com"
