"Id","DisplayName","MailEnabled","SecurityEnabled","GroupClassification","Visibility","CreatedDateTime","OnPremisesSyncEnabled"
"0043ff28-a06c-4394-91b5-247e6d3d4bf6","M365 GDAP Advanced","False","True","Security Group","Private","02/27/2026 12:37:14","False"
"066e759f-422c-428b-8ac7-be7b05c28c1e","M365 GDAP Custom Application Developer 19ae3a92","False","True","Security Group","Private","02/27/2026 13:06:18","False"
"073d78ef-b0de-443b-960b-76bc25ce3234","M365 GDAP Advanced Helpdesk Group","False","True","Security Group","Private","02/27/2026 12:54:30","False"
"0995a421-5f7d-4ed8-b098-17802452ebf4","M365 GDAP Intune Administrator","False","True","Security Group",,"05/08/2026 15:09:04","False"
"0cea644c-ac2b-4ce7-8429-84edff5d1b6c","Excluded from Legacy Authentication Block","False","True","Security Group","Private","06/24/2025 15:34:54","False"
"1662ae85-6011-43b6-8a81-85011bc9c932","DemoWebsite02","True","False","Microsoft 365 Group","Private","05/29/2026 11:00:03","False"
"172f9e93-d1d3-482f-bb0c-47d63552a1fe","Demo-GSA-M365_ClientAccess","False","True","Security Group",,"06/24/2025 15:51:16","False"
"1ac33768-baf5-4e53-a090-4e2430b32dde","Demo OnPrem Gruppe 02","False","True","Security Group",,"02/17/2026 14:02:47","True"
"1ecb2ed5-3e76-4398-bd1a-f38ebe4a80a6","M365 GDAP Billing Administrator","False","True","Security Group",,"05/08/2026 15:09:04","False"
"21c36560-00ae-424b-8a55-570365262b96","GRP - Dyn - SRV 2022 AD DC","False","True","Security Group",,"02/25/2026 09:08:06","False"
"22681c9f-a0d6-4b55-ba9a-8a9f2f0e341a","Excluded from Conditional Access","False","True","Security Group","Private","06/24/2025 15:34:54","False"
"23f21d0f-e6cb-4e8b-8ce4-0b76f6987a74","M365 GDAP Helpdesk Group","False","True","Security Group","Private","02/27/2026 12:54:21","False"
"245e142e-137e-40bf-891f-f2c22fa8fe18","M365 GDAP Custom 19ae3a92 Demo 15","False","True","Security Group","Private","02/27/2026 13:48:56","False"
"24e83f60-a106-444c-9409-102c7b3ebbb1","Device - Demo - Admin Registrierte Geräte","False","True","Security Group",,"02/17/2026 09:08:30","False"
"26a66867-ef99-472a-8d8b-31145c067b83","Demo-Deleted-Identity-Recovery","False","True","Security Group",,"02/10/2026 20:51:02","False"
"294232f4-dc8a-4c14-a2d0-5f34bc5f64c5","M365 GDAP Authentication Policy Administrator","False","True","Security Group",,"05/08/2026 15:09:04","False"
"2ace62c3-9409-4279-a2d6-06c2c664f14d","M365 GDAP Security Administrator","False","True","Security Group",,"05/08/2026 15:09:04","False"
"2e232ed3-e694-4f17-8a92-ad029e5ce7bf","Group for Answers in Viva Engage – DO NOT DELETE 11804614657","True","False","Microsoft 365 Group","Public","11/24/2025 11:29:39","False"
"3418588b-dc64-4689-a664-355a412c446d","M365 GDAP Custom f3ffabf7 Finance","False","True","Security Group","Private","03/09/2026 09:04:04","False"
"350ed347-6ca0-427e-85fc-54b7a15b2250","M365 GDAP Custom 19ae3a92 Demo 11","False","True","Security Group","Private","02/27/2026 13:41:51","False"
"3be8418b-9f6d-4acd-b843-bd71eda50c2d","M365 GDAP Helpdesk 19ae3a92 demo 08","False","True","Security Group","Private","02/27/2026 13:19:11","False"
"3e11b35b-603a-4935-acd1-3bdf4d1ba6c8","Conditional Access Service Accounts","False","True","Security Group","Private","06/24/2025 15:35:12","False"
"400ce0b4-3684-4c0b-b33d-8347eaa6a00b","Demo_EntraID_Sync_User","False","True","Security Group",,"02/17/2026 12:33:14","False"
"4272b66d-d2d2-4091-a06f-06774e3cb455","M365 GDAP Custom 19ae3a92 Demo 16","False","True","Security Group","Private","02/27/2026 13:50:28","False"
"44188216-fbef-42cb-bf71-2445eb400438","M365 GDAP Custom 19ae3a92 Demo 10","False","True","Security Group","Private","02/27/2026 13:31:47","False"
"493b625b-a976-4a81-9895-45358864c60d","M365 GDAP Domain Name Administrator","False","True","Security Group",,"05/08/2026 15:09:04","False"
"4ac67fe6-4466-4a85-ab8a-73b8c1ca7171","DemoWebsite","True","False","Microsoft 365 Group","Private","05/29/2026 08:38:08","False"
"55df8550-9dae-499e-929a-90edae6baf21","M365 GDAP Privileged Role Administrator","False","True","Security Group",,"05/08/2026 15:09:04","False"
"5f089003-2cd1-435f-9a31-369572d738bc","M365 GDAP Privileged Authentication Administrator","False","True","Security Group",,"05/08/2026 15:09:04","False"
"6591da39-71c9-48d0-a685-d6b587fe9bc6","M365 GDAP Cloud App Security Administrator","False","True","Security Group",,"05/08/2026 15:09:04","False"
"66eb76a5-58f3-41e8-a01e-4e9605be7f99","Device - Demo - Registrierte Geräte","False","True","Security Group",,"02/17/2026 09:07:18","False"
"72da35d5-2d81-4940-b5dc-bcaab12a9d9d","M365 GDAP Custom 19ae3a92 Demo 14","False","True","Security Group","Private","02/27/2026 13:47:23","False"
"7622cdc5-0726-4a60-88dc-f4445bf4f839","M365 GDAP Cloud Device Administrator","False","True","Security Group",,"05/08/2026 15:09:04","False"
